customer_id,customer_name,segment
RD-97201,Roger Demir,Consumer
JL-151753,James Lanier,Home Office
GM-146802,Greg Matthias,Consumer
CS-118451,Cari Sayre,Corporate
BW-112003,Ben Wallace,Consumer
CS-122504,Chris Selesnick,Corporate
SR-204252,Sharelle Roach,Home Office
BD-116054,Brian Dahlen,Consumer
BP-110953,Bart Pistole,Corporate
SN-107101,Steve Nguyen,Home Office
ND-183704,Natalie DeCherney,Consumer
MY-182951,Muhammed Yedwab,Corporate
MM-179204,Michael Moore,Consumer
BD-17252,Bruce Degenhardt,Consumer
TB-210553,Ted Butterfield,Consumer
DJ-135102,Don Jones,Corporate
MB-80851,Mick Brown,Consumer
MC-181001,Mick Crebagga,Consumer
RB-197953,Ross Baird,Home Office
CL-127002,Craig Leslie,Home Office
BS-115904,Brendan Sweed,Corporate
EH-139904,Erica Hackney,Consumer
EH-137652,Edward Hooks,Corporate
VM-218351,Vivian Mathis,Consumer
DL-133154,Delfina Latchford,Consumer
TW-210251,Tamara Willingham,Home Office
SD-204852,Shirley Daniels,Home Office
AH-101953,Alan Haines,Corporate
MD-178602,Michael Dominguez,Corporate
CS-21751,Charles Sheldon,Corporate
VG-217903,Vivek Gonzalez,Consumer
RB-194352,Richard Bierner,Consumer
BP-12902,Beth Paige,Consumer
DW-131954,David Wiener,Corporate
MA-175602,Matt Abelman,Home Office
PG-88201,Patrick Gardner,Consumer
AG-103003,Aleksandra Gannaway,Corporate
PW-190301,Pauline Webber,Corporate
AB-106002,Ann Blume,Corporate
MK-79052,Michael Kennedy,Corporate
DK-129852,Darren Koutras,Consumer
TS-213404,Toby Swindell,Consumer
RD-99002,Ruben Dartt,Consumer
RB-93301,Randy Bradley,Consumer
MA-79951,Michelle Arnett,Home Office
AB-102553,Alejandro Ballentine,Home Office
IM-50702,Irene Maddox,Consumer
SM-209503,Suzanne McNair,Corporate
TR-213251,Toby Ritter,Consumer
HL-150403,Hunter Lopez,Consumer
MV-174854,Mark Van Huff,Consumer
SH-99752,Sally Hughsby,Corporate
DV-30452,Darrin Van Huff,Corporate
XP-218654,Xylona Preis,Consumer
HL-150404,Hunter Lopez,Consumer
MM-182804,Muhammed MacIntyre,Corporate
RC-199602,Ryan Crowe,Consumer
PS-189702,Paul Stevenson,Home Office
TB-214004,Tom Boeckenhauer,Consumer
MH-172902,Marc Harrigan,Home Office
CB-125352,Claudia Bergmann,Corporate
MP-179653,Michael Paige,Corporate
JK-53251,Jason Klamczynski,Corporate
BM-15752,Brendan Murry,Corporate
SS-208751,Sung Shariari,Consumer
CL-118903,Carl Ludwig,Consumer
LT-167653,Larry Tron,Consumer
CR-26253,Corey Roper,Home Office
SG-206054,Speros Goranitis,Consumer
SJ-205002,Shirley Jackson,Consumer
AB-6002,Ann Blume,Corporate
LC-168851,Lena Creighton,Consumer
JM-52502,Janet Martin,Consumer
CP-123402,Christine Phan,Corporate
MW-182201,Mitch Webber,Consumer
IM-150554,Ionia McGrath,Consumer
JM-155801,Jill Matthias,Consumer
CC-124301,Chuck Clark,Home Office
GH-46651,Greg Hansen,Consumer
JS-159402,Joni Sundaresam,Home Office
BT-14851,Brad Thomas,Home Office
GH-44251,Gary Hwang,Consumer
SA-208303,Sue Ann Reed,Consumer
FM-142152,Filia McAdams,Corporate
FO-143052,Frank Olsen,Consumer
LW-172151,Luke Weiss,Consumer
AB-101502,Aimee Bixby,Consumer
HG-150252,Hunter Glantz,Consumer
JF-53552,Jay Fein,Consumer
NC-83401,Nat Carroll,Consumer
AA-106451,Anna Andreadi,Consumer
AS-102402,Alan Shonely,Consumer
MM-179202,Michael Moore,Consumer
PO-188502,Patrick O'Brill,Consumer
NM-184451,Nathan Mautz,Home Office
AR-104052,Allen Rosenblatt,Corporate
CA-122651,Christina Anderson,Consumer
BT-15303,Bradley Talbott,Home Office
HK-148901,Heather Kirkland,Corporate
SH-99751,Sally Hughsby,Corporate
LP-70801,Liz Pelletier,Consumer
CA-119654,Carol Adams,Corporate
SD-204854,Shirley Daniels,Home Office
NS-185053,Neola Schneider,Consumer
TS-113701,Todd Sumrall,Corporate
RA-99452,Ryan Akin,Consumer
DB-133601,Dennis Bolton,Home Office
BW-110653,Barry Weirich,Consumer
EJ-137204,Ed Jacobs,Consumer
MP-179651,Michael Paige,Corporate
HF-149952,Herbert Flentye,Consumer
JR-157001,Jocasta Rupert,Consumer
RP-193903,Resi Pölking,Consumer
JC-153404,Jasper Cacioppo,Consumer
NB-86551,Nona Balk,Corporate
DP-31651,David Philippe,Consumer
HE-148001,Harold Engle,Corporate
AG-9001,Arthur Gainer,Consumer
BD-17701,Bryan Davis,Consumer
BD-115601,Brendan Dodson,Home Office
DK-128353,Damala Kotsonis,Corporate
MV-181904,Mike Vittorini,Consumer
CM-121603,Charles McCrossin,Consumer
TS-216101,Troy Staebel,Consumer
LS-172001,Luke Schmidt,Corporate
SF-202001,Sarah Foster,Consumer
IM-150552,Ionia McGrath,Consumer
GH-144852,Gene Hale,Corporate
DK-31501,David Kendrick,Corporate
DH-130753,Dave Hallsten,Corporate
DK-131501,David Kendrick,Corporate
RR-193152,Ralph Ritter,Consumer
PO-88502,Patrick O'Brill,Consumer
SP-206501,Stephanie Phelps,Corporate
LC-170504,Liz Carlisle,Consumer
ES-140801,Erin Smith,Corporate
LO-171702,Lori Olson,Corporate
KH-166302,Ken Heidel,Corporate
EH-141852,Evan Henry,Consumer
BD-115004,Bradley Drucker,Consumer
DN-136901,Duane Noonan,Consumer
JM-155802,Jill Matthias,Consumer
KL-166452,Ken Lonsdale,Consumer
GD-145901,Giulietta Dortch,Corporate
EB-138402,Ellis Ballard,Corporate
EB-137052,Ed Braxton,Corporate
TS-211601,Theresa Swint,Corporate
CD-127904,Cynthia Delaney,Home Office
EB-139304,Eric Barreto,Consumer
ML-177552,Max Ludwig,Home Office
SW-104551,Shaun Weien,Consumer
DB-32101,Dean Braden,Consumer
TS-114301,Tom Stivers,Corporate
CC-123701,Christopher Conant,Consumer
AS-6301,Ann Steele,Home Office
BT-114852,Brad Thomas,Home Office
DB-132704,Deborah Brumfield,Home Office
AW-8401,Anthony Witt,Consumer
MH-174404,Mark Haberlin,Corporate
JM-61952,Justin MacKendrick,Consumer
SM-209052,Susan MacKendrick,Consumer
ND-184604,Neil Ducich,Corporate
NW-184001,Natalie Webber,Consumer
LT-171101,Liz Thompson,Consumer
DB-136601,Duane Benoit,Consumer
GB-145302,George Bell,Corporate
SW-202751,Scott Williamson,Consumer
CK-127604,Cyma Kinney,Corporate
SW-204552,Shaun Weien,Consumer
KW-165703,Kelly Williams,Consumer
JB-60452,Julia Barnett,Home Office
KW-65701,Kelly Williams,Consumer
BP-110951,Bart Pistole,Corporate
EB-137502,Edward Becker,Corporate
HR-147702,Hallie Redmond,Home Office
DR-129401,Daniel Raglin,Home Office
LT-171103,Liz Thompson,Consumer
NG-183552,Nat Gilpin,Corporate
TP-214153,Tom Prescott,Consumer
ST-205303,Shui Tom,Consumer
YC-218952,Yoseph Carroll,Corporate
CL-125652,Clay Ludtke,Consumer
EH-140051,Erica Hernandez,Home Office
NM-184454,Nathan Mautz,Home Office
JH-58201,John Huston,Consumer
PO-91803,Philisse Overcash,Home Office
JP-154602,Jennifer Patt,Corporate
MO-75001,Mary O'Rourke,Consumer
CA-119651,Carol Adams,Corporate
ME-180101,Michelle Ellison,Corporate
PL-189252,Paul Lucas,Home Office
FO-143051,Frank Olsen,Consumer
MO-178002,Meg O'Connel,Home Office
CM-121152,Chad McGuire,Consumer
QJ-192553,Quincy Jones,Corporate
ME-180102,Michelle Ellison,Corporate
AH-6901,Anna Häberlin,Corporate
LD-70053,Lisa DeCherney,Consumer
SN-207103,Steve Nguyen,Home Office
SP-208601,Sung Pak,Corporate
EM-39601,Eric Murdock,Consumer
GA-147254,Guy Armstrong,Consumer
NF-183854,Natalie Fritzler,Consumer
MG-178901,Michael Granlund,Home Office
SC-200954,Sanjit Chand,Consumer
LB-167953,Laurel Beltran,Home Office
KB-164051,Katrina Bavinger,Home Office
TG-213101,Toby Gnade,Consumer
HA-149202,Helen Andreada,Consumer
MM-82802,Muhammed MacIntyre,Corporate
TC-112951,Toby Carlisle,Consumer
DB-132701,Deborah Brumfield,Home Office
TB-112803,Toby Braunhardt,Consumer
TB-116251,Trudy Brown,Consumer
ST-205304,Shui Tom,Consumer
ML-173954,Marina Lichtenstein,Corporate
TP-215652,Tracy Poddar,Corporate
PA-90601,Pete Armstrong,Home Office
JE-154751,Jeremy Ellison,Consumer
GZ-144702,Gary Zandusky,Consumer
CM-123851,Christopher Martinez,Consumer
ON-187152,Odella Nelson,Corporate
MH-176203,Matt Hagelstein,Corporate
BW-111101,Bart Watters,Corporate
TZ-215803,Tracy Zic,Consumer
RW-196302,Rob Williams,Corporate
BF-112151,Benjamin Farhat,Home Office
BF-110204,Barry Französisch,Corporate
ED-138853,Emily Ducich,Home Office
LB-167951,Laurel Beltran,Home Office
MN-179354,Michael Nguyen,Consumer
KW-64351,Katrina Willman,Consumer
LA-167801,Laura Armstrong,Corporate
AB-101652,Alan Barnes,Consumer
JR-156701,Jim Radford,Consumer
CM-121601,Charles McCrossin,Consumer
ML-180401,Michelle Lonsdale,Corporate
RD-199001,Ruben Dartt,Consumer
SN-105602,Skye Norling,Home Office
DL-129252,Daniel Lacy,Consumer
AB-100154,Aaron Bergman,Consumer
LT-167651,Larry Tron,Consumer
TB-215954,Troy Blackwell,Consumer
JL-158501,John Lucas,Consumer
LC-169304,Linda Cazamias,Corporate
SJ-202152,Sarah Jordon,Consumer
EA-140351,Erin Ashbrook,Corporate
AG-109001,Arthur Gainer,Consumer
AM-103602,Alice McCarthy,Corporate
LM-170651,Liz MacKendrick,Consumer
SR-207404,Steven Roelle,Home Office
SC-200201,Sam Craven,Consumer
AR-105101,Andrew Roberts,Consumer
ZD-219252,Zuschuss Donatelli,Consumer
RH-195101,Rick Huthwaite,Home Office
RW-95402,Rick Wilson,Corporate
PG-188952,Paul Gonzalez,Consumer
TM-210104,Tamara Manning,Consumer
ML-80403,Michelle Lonsdale,Corporate
SZ-100352,Sam Zeldin,Home Office
AG-4953,Andrew Gjertsen,Corporate
JD-160602,Julia Dunbar,Consumer
PH-87901,Patricia Hirasaki,Home Office
CM-123852,Christopher Martinez,Consumer
CM-19352,Carlos Meador,Consumer
MG-182051,Mitch Gastineau,Corporate
MO-175003,Mary O'Rourke,Consumer
RF-197351,Roland Fjeld,Consumer
GD-145902,Giulietta Dortch,Corporate
SA-208304,Sue Ann Reed,Consumer
CB-24151,Christy Brittain,Consumer
DK-28351,Damala Kotsonis,Corporate
TS-114302,Tom Stivers,Corporate
TB-112802,Toby Braunhardt,Consumer
MG-178754,Michael Grace,Home Office
JC-161052,Julie Creighton,Corporate
JM-156551,Jim Mitchum,Corporate
CS-119503,Carlos Soltero,Consumer
GZ-144703,Gary Zandusky,Consumer
RO-97801,Rose O'Brian,Consumer
EG-139003,Emily Grady,Consumer
JH-154304,Jennifer Halladay,Consumer
TH-115501,Tracy Hopkins,Home Office
MK-181603,Mike Kennedy,Consumer
FM-143801,Fred McMath,Consumer
BO-114252,Bobby Odegard,Consumer
RL-196153,Rob Lucas,Consumer
LC-168701,Lena Cacioppo,Consumer
BS-113803,Bill Stewart,Corporate
MD-178601,Michael Dominguez,Corporate
DK-33753,Dennis Kane,Consumer
SH-199751,Sally Hughsby,Corporate
PS-189701,Paul Stevenson,Home Office
SB-201853,Sarah Brown,Consumer
JS-160304,Joy Smith,Consumer
TP-114152,Tom Prescott,Consumer
BS-18002,Bryan Spruell,Home Office
TB-214002,Tom Boeckenhauer,Consumer
EL-137352,Ed Ludwig,Home Office
VF-217154,Vicky Freymann,Home Office
GW-146054,Giulietta Weimer,Consumer
EH-37651,Edward Hooks,Corporate
LH-171551,Logan Haushalter,Consumer
JF-154902,Jeremy Farry,Consumer
HR-147704,Hallie Redmond,Home Office
TS-213702,Todd Sumrall,Corporate
SC-203804,Shahid Collister,Consumer
CM-122352,Chris McAfee,Consumer
KH-163601,Katherine Hughes,Consumer
DB-130604,Dave Brooks,Consumer
RF-193451,Randy Ferguson,Corporate
BD-116201,Brian DeCherney,Consumer
NW-84003,Natalie Webber,Consumer
MZ-175151,Mary Zewe,Corporate
NH-186104,Nicole Hansen,Corporate
KN-167054,Kristina Nunn,Home Office
FH-142753,Frank Hawley,Corporate
TS-110853,Thais Sissman,Consumer
JS-155954,Jill Stevenson,Corporate
MW-182353,Mitch Willingham,Corporate
AJ-109454,Ashley Jarboe,Consumer
AJ-9601,Astrea Jones,Consumer
BW-12001,Ben Wallace,Consumer
AP-7201,Anne Pryor,Home Office
DP-131652,David Philippe,Consumer
CC-23701,Christopher Conant,Consumer
SF-100652,Sandra Flanagan,Consumer
CC-122203,Chris Cortes,Consumer
YS-118802,Yana Sorensen,Corporate
AP-107204,Anne Pryor,Home Office
MV-181901,Mike Vittorini,Consumer
EJ-141554,Eva Jacobs,Consumer
CS-118603,Cari Schnelling,Consumer
RB-197052,Roger Barcio,Home Office
SC-200204,Sam Craven,Consumer
SC-102302,Scot Coram,Corporate
BE-114551,Brad Eason,Home Office
CL-125654,Clay Ludtke,Consumer
PW-92402,Pierre Wener,Consumer
JL-58351,John Lee,Consumer
DM-130153,Darrin Martin,Consumer
AB-101504,Aimee Bixby,Consumer
BP-10502,Barry Pond,Corporate
RD-199303,Russell D'Ascenzo,Consumer
MG-76952,Maureen Gnade,Consumer
NP-183251,Naresj Patel,Consumer
TS-213402,Toby Swindell,Consumer
PG-188953,Paul Gonzalez,Consumer
CM-127154,Craig Molinari,Corporate
BW-11101,Bart Watters,Corporate
NP-186854,Nora Pelletier,Home Office
GR-45601,Georgia Rosenberg,Corporate
JF-54902,Jeremy Farry,Consumer
GT-147103,Greg Tran,Consumer
MS-177103,Maurice Satty,Consumer
KM-162251,Kalyca Meade,Corporate
LW-172152,Luke Weiss,Consumer
CR-126253,Corey Roper,Home Office
JK-57302,Joe Kamberova,Consumer
DK-33752,Dennis Kane,Consumer
JL-152352,Janet Lee,Consumer
AG-6751,Anna Gayman,Consumer
SS-201401,Saphhira Shifley,Corporate
KT-164804,Kean Thornton,Consumer
BC-11252,Becky Castell,Home Office
TN-210403,Tanja Norvell,Home Office
SW-202754,Scott Williamson,Consumer
BT-113952,Bill Tyler,Corporate
BM-117851,Bryan Mills,Consumer
JS-160301,Joy Smith,Consumer
AG-106752,Anna Gayman,Consumer
TT-214602,Tonja Turnell,Home Office
KD-163453,Katherine Ducich,Consumer
KS-163003,Karen Seio,Corporate
NM-185201,Neoma Murray,Consumer
FM-142154,Filia McAdams,Corporate
PM-91352,Peter McVee,Home Office
RB-194354,Richard Bierner,Consumer
SC-207703,Stewart Carmichael,Corporate
MM-180553,Michelle Moray,Consumer
CK-122054,Chloris Kastensmidt,Consumer
KA-165254,Kelly Andreada,Consumer
MF-176652,Maureen Fritzler,Corporate
AJ-7801,Anthony Jacobs,Corporate
SG-206051,Speros Goranitis,Consumer
PO-188652,Patrick O'Donnell,Consumer
MH-174553,Mark Hamilton,Consumer
CD-119201,Carlos Daly,Consumer
RR-195251,Rick Reed,Corporate
HK-148902,Heather Kirkland,Corporate
SG-204702,Sheri Gordon,Consumer
TZ-214453,Tom Zandusky,Corporate
JF-152954,Jason Fortune-,Consumer
CK-123254,Christine Kargatis,Home Office
DB-129702,Darren Budd,Corporate
KA-165252,Kelly Andreada,Consumer
SF-100651,Sandra Flanagan,Consumer
DK-132254,Dean Katz,Corporate
RB-194654,Rick Bensley,Home Office
EB-141102,Eugene Barchas,Consumer
NF-184754,Neil Französisch,Home Office
CM-118152,Candace McMahon,Corporate
RC-198253,Roy Collins,Consumer
DL-133301,Denise Leinenbach,Consumer
BM-115751,Brendan Murry,Corporate
RE-194052,Ricardo Emerson,Consumer
AS-102404,Alan Shonely,Consumer
DK-130901,Dave Kipp,Consumer
SA-208301,Sue Ann Reed,Consumer
FC-143353,Fred Chung,Corporate
PO-91953,Phillina Ober,Home Office
PF-191201,Peter Fuller,Consumer
BT-116801,Brian Thompson,Consumer
Dl-136002,Dorris liebe,Corporate
CK-122051,Chloris Kastensmidt,Consumer
MM-82801,Muhammed MacIntyre,Corporate
SV-109351,Susan Vittorini,Consumer
BN-115154,Bradley Nguyen,Consumer
AZ-107504,Annie Zypern,Consumer
DK-31502,David Kendrick,Corporate
CP-123404,Christine Phan,Corporate
CC-125503,Clay Cheatham,Consumer
QJ-192554,Quincy Jones,Corporate
SM-203204,Sean Miller,Home Office
DL-133303,Denise Leinenbach,Consumer
SC-200504,Sample Company A,Home Office
DK-129851,Darren Koutras,Consumer
CS-121301,Chad Sievert,Consumer
EN-137802,Edward Nazzal,Consumer
EK-137954,Eileen Kiefer,Home Office
AS-102401,Alan Shonely,Consumer
SN-205602,Skye Norling,Home Office
JM-152651,Janet Molinari,Corporate
ND-83701,Natalie DeCherney,Consumer
MC-176054,Matt Connell,Corporate
SF-200652,Sandra Flanagan,Consumer
GM-144404,Gary McGarr,Consumer
AS-2851,Alejandro Savely,Corporate
AB-100152,Aaron Bergman,Consumer
JF-52953,Jason Fortune-,Consumer
MS-179803,Michael Stewart,Corporate
TS-212054,Thomas Seio,Corporate
MC-174253,Mark Cousins,Corporate
KH-166904,Kristen Hastings,Corporate
AS-100452,Aaron Smayling,Corporate
DJ-134201,Denny Joy,Corporate
CB-120254,Cassandra Brandow,Consumer
CA-120553,Cathy Armstrong,Home Office
EJ-137202,Ed Jacobs,Consumer
JK-56251,Jim Karlsson,Consumer
JL-151301,Jack Lebron,Consumer
RK-193003,Ralph Kennedy,Consumer
DM-130152,Darrin Martin,Consumer
JW-160753,Julia West,Consumer
JC-153401,Jasper Cacioppo,Consumer
CD-119802,Carol Darley,Consumer
PS-189703,Paul Stevenson,Home Office
VM-218354,Vivian Mathis,Consumer
BF-112754,Beth Fritzler,Corporate
CC-126854,Craig Carroll,Consumer
NF-184753,Neil Französisch,Home Office
DP-130001,Darren Powers,Consumer
PF-191651,Philip Fox,Consumer
TS-215051,Tony Sayre,Consumer
DB-132702,Deborah Brumfield,Home Office
AJ-9602,Astrea Jones,Consumer
DK-33751,Dennis Kane,Consumer
PO-188654,Patrick O'Donnell,Consumer
KT-64651,Kean Takahito,Consumer
CA-23101,Christine Abelman,Corporate
BG-117404,Bruce Geld,Consumer
DH-130751,Dave Hallsten,Corporate
EJ-141553,Eva Jacobs,Consumer
TW-210252,Tamara Willingham,Home Office
LW-168251,Laurel Workman,Corporate
CD-119204,Carlos Daly,Consumer
MS-177104,Maurice Satty,Consumer
DK-129853,Darren Koutras,Consumer
MC-176353,Matthew Clasen,Corporate
GG-146501,Greg Guthrie,Corporate
BD-117252,Bruce Degenhardt,Consumer
JL-58352,John Lee,Consumer
MF-176651,Maureen Fritzler,Corporate
LR-169153,Lena Radford,Consumer
CA-122654,Christina Anderson,Consumer
TB-211902,Thomas Brumley,Home Office
VM-216851,Valerie Mitchum,Home Office
HP-148152,Harold Pawlan,Home Office
JD-158954,Jonathan Doherty,Corporate
TH-211002,Thea Hendricks,Consumer
DK-128354,Damala Kotsonis,Corporate
CS-125054,Cindy Stewart,Consumer
JF-151902,Jamie Frazer,Consumer
VG-217901,Vivek Gonzalez,Consumer
TB-215952,Troy Blackwell,Consumer
JK-161203,Julie Kriz,Home Office
CV-122954,Christina VanderZanden,Consumer
LW-172153,Luke Weiss,Consumer
MP-181754,Mike Pelletier,Home Office
LR-70352,Lisa Ryan,Corporate
RA-92853,Ralph Arnett,Consumer
EH-139902,Erica Hackney,Consumer
DW-135403,Don Weiss,Consumer
DR-129404,Daniel Raglin,Home Office
SC-202602,Scott Cohen,Corporate
AF-108853,Art Foster,Consumer
CL-125653,Clay Ludtke,Consumer
RD-96602,Robert Dilbeck,Home Office
JH-161802,Justin Hirsh,Consumer
SV-203653,Seth Vernon,Consumer
SW-202753,Scott Williamson,Consumer
SW-203502,Sean Wendt,Home Office
MT-178151,Meg Tillman,Consumer
MG-181454,Mike Gockenbach,Consumer
SZ-200351,Sam Zeldin,Home Office
KM-167204,Kunst Miller,Consumer
CS-122502,Chris Selesnick,Corporate
Dl-136004,Dorris liebe,Corporate
GT-147551,Guy Thornton,Consumer
AF-108701,Art Ferguson,Consumer
JD-158953,Jonathan Doherty,Corporate
BF-110801,Bart Folk,Consumer
MP-174704,Mark Packer,Home Office
NC-183404,Nat Carroll,Consumer
MH-177851,Maya Herman,Corporate
AR-3452,Alex Russell,Corporate
SG-208904,Susan Gilcrest,Corporate
JB-60001,Joy Bell-,Consumer
RW-195401,Rick Wilson,Corporate
RP-192703,Rachel Payne,Corporate
LB-167352,Larry Blacks,Consumer
DD-135704,Dorothy Dickinson,Consumer
AA-103154,Alex Avila,Consumer
SA-208302,Sue Ann Reed,Consumer
TG-216404,Trudy Glocke,Consumer
PG-88952,Paul Gonzalez,Consumer
JP-54603,Jennifer Patt,Corporate
AR-4051,Allen Rosenblatt,Corporate
JO-152804,Jas O'Carroll,Consumer
RM-197501,Roland Murray,Consumer
KB-162404,Karen Bern,Corporate
NG-84303,Nathan Gelder,Consumer
VP-217603,Victoria Pisteka,Corporate
PA-190601,Pete Armstrong,Home Office
KH-163304,Katharine Harms,Corporate
RP-192701,Rachel Payne,Corporate
JB-154003,Jennifer Braxton,Corporate
BP-112302,Benjamin Patterson,Consumer
LS-172453,Lynn Smith,Consumer
DW-134803,Dianna Wilson,Home Office
AH-106904,Anna Häberlin,Corporate
HL-150401,Hunter Lopez,Consumer
RD-195854,Rob Dowd,Consumer
CS-23551,Christine Sundaresam,Consumer
PC-187451,Pamela Coakley,Corporate
EB-138701,Emily Burns,Consumer
TM-214901,Tony Molinari,Consumer
KE-164204,Katrina Edelman,Corporate
LP-170953,Liz Preis,Consumer
EH-141851,Evan Henry,Consumer
MM-182802,Muhammed MacIntyre,Corporate
DA-34501,Dianna Arnett,Home Office
BT-14402,Bobby Trafton,Consumer
AG-104952,Andrew Gjertsen,Corporate
KB-165854,Ken Black,Corporate
PK-189104,Paul Knutson,Home Office
CL-18901,Carl Ludwig,Consumer
NM-84451,Nathan Mautz,Home Office
MZ-175154,Mary Zewe,Corporate
MV-74852,Mark Van Huff,Consumer
TH-211151,Thea Hudgings,Corporate
NC-85351,Nick Crebassa,Corporate
GM-146954,Greg Maxwell,Corporate
MM-179201,Michael Moore,Consumer
PG-188951,Paul Gonzalez,Consumer
RD-199004,Ruben Dartt,Consumer
TH-215504,Tracy Hopkins,Home Office
JG-158054,John Grady,Corporate
RP-198554,Roy Phan,Corporate
BB-109901,Barry Blumstein,Corporate
SC-202604,Scott Cohen,Corporate
DP-131053,Dave Poirier,Corporate
AY-105554,Andy Yotov,Corporate
LC-169302,Linda Cazamias,Corporate
PC-190002,Pauline Chand,Home Office
FH-142754,Frank Hawley,Corporate
MM-172602,Magdelene Morse,Consumer
GP-147404,Guy Phonely,Corporate
ME-177252,Max Engle,Consumer
AH-4651,Amy Hunt,Consumer
AS-901,Adam Shillingsburg,Consumer
JB-160003,Joy Bell-,Consumer
RS-197654,Roland Schwarz,Corporate
SG-206053,Speros Goranitis,Consumer
VM-216854,Valerie Mitchum,Home Office
DB-29103,Daniel Byrd,Home Office
LW-171252,Liz Willingham,Consumer
SD-204853,Shirley Daniels,Home Office
PJ-190154,Pauline Johnson,Consumer
RA-198854,Ruben Ausman,Corporate
JS-158804,John Stevenson,Consumer
BE-14101,Bobby Elias,Consumer
VS-218201,Vivek Sundaresam,Consumer
AH-101952,Alan Haines,Corporate
JH-59101,Jonathan Howell,Consumer
PC-190004,Pauline Chand,Home Office
JM-156554,Jim Mitchum,Corporate
CM-127151,Craig Molinari,Corporate
CS-124902,Cindy Schnelling,Corporate
EC-140503,Erin Creighton,Consumer
BK-112602,Berenike Kampe,Consumer
MM-180554,Michelle Moray,Consumer
JS-155953,Jill Stevenson,Corporate
JW-160752,Julia West,Consumer
SE-201104,Sanjit Engle,Consumer
JK-153704,Jay Kimmel,Consumer
GM-144554,Gary Mitchum,Home Office
SC-106801,Steve Carroll,Home Office
CA-119653,Carol Adams,Corporate
KN-164504,Kean Nguyen,Corporate
BC-111252,Becky Castell,Home Office
EH-137654,Edward Hooks,Corporate
SV-207854,Stewart Visinsky,Consumer
BD-116353,Brian Derr,Consumer
JF-152953,Jason Fortune-,Consumer
CH-120701,Cathy Hwang,Home Office
PM-91351,Peter McVee,Home Office
BE-113351,Bill Eplett,Home Office
