customer_id,customer_name,segment,recency,frequency,monetary,rfm_score,customer_segment
DD-135703,Dorothy Dickinson,Consumer,78,6,1023,332,Loyal Customers
JS-160302,Joy Smith,Consumer,141,7,1146,342,Loyal Customers
JO-151454,Jack O'Briant,Corporate,58,9,3257,454,Champions
SV-107851,Stewart Visinsky,Consumer,22,3,2833,524,Potential/Others
DP-131052,Dave Poirier,Corporate,133,2,926,312,Potential/Others
LS-172304,Lycoris Saunders,Consumer,778,3,368,121,Lost Customers
MS-173651,Maribeth Schnelling,Consumer,28,7,4809,545,Champions
AB-100601,Adam Bellavance,Home Office,82,9,2107,353,Loyal Customers
AC-4201,Alyssa Crouse,Corporate,14,6,841,532,Loyal Customers
HM-48602,Harry Marie,Corporate,35,2,784,412,Potential/Others
DP-130002,Darren Powers,Consumer,90,10,6306,355,Loyal Customers
CM-123853,Christopher Martinez,Consumer,154,6,4902,235,At Risk
NF-185951,Nicole Fjeld,Home Office,220,4,2661,224,Lost Customers
VS-218204,Vivek Sundaresam,Consumer,222,4,1057,232,At Risk
HZ-49501,Henia Zydlo,Consumer,598,3,2525,123,Lost Customers
JE-57151,Joe Elijah,Consumer,87,4,107,321,Potential/Others
SC-200501,Sample Company A,Home Office,100,9,5484,355,Loyal Customers
EB-137051,Ed Braxton,Corporate,76,8,1641,453,Champions
AG-102701,Alejandro Grove,Consumer,66,7,4771,445,Champions
ER-38552,Elpida Rittenbach,Corporate,113,5,3271,334,Loyal Customers
MS-178304,Melanie Seite,Consumer,453,4,370,121,Lost Customers
GG-146502,Greg Guthrie,Corporate,34,10,7619,455,Champions
RS-94201,Ricardo Sperren,Corporate,34,5,331,431,Loyal Customers
TH-112351,Tiffany House,Corporate,231,4,1456,233,At Risk
BD-116051,Brian Dahlen,Consumer,267,6,3719,234,At Risk
PM-189403,Paul MacIntyre,Consumer,30,9,2575,554,Champions
DL-128651,Dan Lawera,Consumer,58,7,4683,445,Champions
SJ-101251,Sanjit Jacobs,Home Office,393,2,1050,112,Lost Customers
JR-157003,Jocasta Rupert,Consumer,80,8,1873,353,Loyal Customers
PO-188651,Patrick O'Donnell,Consumer,176,8,2550,254,At Risk
DV-134651,Dianna Vittorini,Consumer,195,5,3861,234,At Risk
DF-131351,David Flashing,Consumer,10,8,4201,554,Champions
AJ-107804,Anthony Jacobs,Corporate,76,7,4868,445,Champions
TN-210401,Tanja Norvell,Home Office,23,7,2186,543,Champions
EM-139602,Eric Murdock,Consumer,17,10,5759,555,Champions
RC-198252,Roy Collins,Consumer,241,7,4180,244,At Risk
SC-206801,Steve Carroll,Home Office,80,9,8915,355,Loyal Customers
CS-24602,Chuck Sachs,Consumer,203,5,964,232,At Risk
PF-191653,Philip Fox,Consumer,323,8,3347,254,At Risk
MB-180852,Mick Brown,Consumer,105,9,1735,353,Loyal Customers
SC-104401,Shaun Chance,Corporate,414,3,1648,123,Lost Customers
PB-191052,Peter Bühler,Consumer,527,5,1855,133,At Risk
RP-198552,Roy Phan,Corporate,307,9,4063,254,At Risk
SV-203654,Seth Vernon,Consumer,102,10,11472,355,Loyal Customers
AG-107652,Anthony Garverick,Home Office,93,6,2159,333,Loyal Customers
TS-212053,Thomas Seio,Corporate,120,5,2737,334,Loyal Customers
SC-208002,Stuart Calhoun,Consumer,31,10,4487,555,Champions
RD-97201,Roger Demir,Consumer,71,4,2698,434,Loyal Customers
JL-151753,James Lanier,Home Office,42,10,3286,454,Champions
GM-146802,Greg Matthias,Consumer,8,5,3115,534,Loyal Customers
CS-118451,Cari Sayre,Corporate,16,11,16655,555,Champions
BW-112003,Ben Wallace,Consumer,182,10,4557,255,At Risk
CS-122504,Chris Selesnick,Corporate,27,12,2757,554,Champions
SR-204252,Sharelle Roach,Home Office,106,6,6126,345,Loyal Customers
BD-116054,Brian Dahlen,Consumer,98,7,3288,344,Loyal Customers
BP-110953,Bart Pistole,Corporate,331,8,2560,244,At Risk
SN-107101,Steve Nguyen,Home Office,253,2,192,211,Lost Customers
ND-183704,Natalie DeCherney,Consumer,28,9,4329,555,Champions
MY-182951,Muhammed Yedwab,Corporate,1,6,8991,545,Champions
MM-179204,Michael Moore,Consumer,8,11,3793,554,Champions
BD-17252,Bruce Degenhardt,Consumer,149,9,2229,353,Loyal Customers
TB-210553,Ted Butterfield,Consumer,320,10,1897,253,At Risk
DJ-135102,Don Jones,Corporate,167,7,4513,245,At Risk
MB-80851,Mick Brown,Consumer,12,2,139,511,Potential/Others
MC-181001,Mick Crebagga,Consumer,62,8,3397,454,Champions
RB-197953,Ross Baird,Home Office,94,14,9463,355,Loyal Customers
CL-127002,Craig Leslie,Home Office,41,8,2902,444,Champions
BS-115904,Brendan Sweed,Corporate,36,6,2455,433,Loyal Customers
EH-139904,Erica Hackney,Consumer,406,6,827,142,At Risk
EH-137652,Edward Hooks,Corporate,174,5,3774,234,At Risk
VM-218351,Vivian Mathis,Consumer,204,7,851,242,At Risk
DL-133154,Delfina Latchford,Consumer,23,8,1458,553,Champions
TW-210251,Tamara Willingham,Home Office,42,7,3359,444,Champions
SD-204852,Shirley Daniels,Home Office,16,10,3888,554,Champions
AH-101953,Alan Haines,Corporate,52,6,5370,435,Loyal Customers
MD-178602,Michael Dominguez,Corporate,259,9,2689,254,At Risk
CS-21751,Charles Sheldon,Corporate,58,2,1380,413,Potential/Others
VG-217903,Vivek Gonzalez,Consumer,185,8,4462,255,At Risk
RB-194352,Richard Bierner,Consumer,131,3,93,321,Potential/Others
BP-12902,Beth Paige,Consumer,752,3,318,111,Lost Customers
DW-131954,David Wiener,Corporate,70,6,1079,442,Champions
MA-175602,Matt Abelman,Home Office,129,4,2823,324,Potential/Others
PG-88201,Patrick Gardner,Consumer,1443,1,459,111,Lost Customers
AG-103003,Aleksandra Gannaway,Corporate,3,8,3364,544,Champions
PW-190301,Pauline Webber,Corporate,66,9,1126,452,Champions
AB-106002,Ann Blume,Corporate,338,6,4276,235,At Risk
MK-79052,Michael Kennedy,Corporate,381,2,187,111,Lost Customers
DK-129852,Darren Koutras,Consumer,38,9,2819,454,Champions
TS-213404,Toby Swindell,Consumer,227,5,974,232,At Risk
RD-99002,Ruben Dartt,Consumer,93,5,4558,335,Loyal Customers
RB-93301,Randy Bradley,Consumer,113,5,2079,333,Loyal Customers
MA-79951,Michelle Arnett,Home Office,356,8,1558,153,At Risk
AB-102553,Alejandro Ballentine,Home Office,6,9,4644,555,Champions
IM-50702,Irene Maddox,Consumer,51,6,1896,443,Champions
SM-209503,Suzanne McNair,Corporate,79,7,2966,344,Loyal Customers
TR-213251,Toby Ritter,Consumer,2,7,5454,545,Champions
HL-150403,Hunter Lopez,Consumer,37,4,5919,425,Potential/Others
MV-174854,Mark Van Huff,Consumer,28,9,1561,553,Champions
SH-99752,Sally Hughsby,Corporate,107,6,7537,345,Loyal Customers
DV-30452,Darrin Van Huff,Corporate,34,10,3374,454,Champions
XP-218654,Xylona Preis,Consumer,44,11,2375,453,Champions
HL-150404,Hunter Lopez,Consumer,44,6,12875,445,Champions
MM-182804,Muhammed MacIntyre,Corporate,86,9,774,352,Loyal Customers
RC-199602,Ryan Crowe,Consumer,518,7,2901,144,At Risk
PS-189702,Paul Stevenson,Home Office,191,12,4672,255,At Risk
TB-214004,Tom Boeckenhauer,Consumer,203,7,9134,245,At Risk
MH-172902,Marc Harrigan,Home Office,38,8,2845,454,Champions
CB-125352,Claudia Bergmann,Corporate,45,8,7379,445,Champions
MP-179653,Michael Paige,Corporate,28,10,4263,554,Champions
JK-53251,Jason Klamczynski,Corporate,461,3,203,121,Lost Customers
BM-15752,Brendan Murry,Corporate,198,4,334,221,Lost Customers
SS-208751,Sung Shariari,Consumer,93,6,1769,343,Loyal Customers
CL-118903,Carl Ludwig,Consumer,45,14,6904,455,Champions
LT-167653,Larry Tron,Consumer,72,11,4808,455,Champions
CR-26253,Corey Roper,Home Office,140,3,3763,324,Potential/Others
SG-206054,Speros Goranitis,Consumer,109,6,3126,344,Loyal Customers
SJ-205002,Shirley Jackson,Consumer,579,7,5012,145,At Risk
AB-6002,Ann Blume,Corporate,876,2,4027,114,Lost Customers
LC-168851,Lena Creighton,Consumer,141,8,4867,355,Loyal Customers
JM-52502,Janet Martin,Consumer,135,2,467,311,Potential/Others
CP-123402,Christine Phan,Corporate,9,7,2537,544,Champions
MW-182201,Mitch Webber,Consumer,149,5,7302,335,Loyal Customers
IM-150554,Ionia McGrath,Consumer,410,3,2872,124,Lost Customers
JM-155801,Jill Matthias,Consumer,416,8,4838,155,At Risk
CC-124301,Chuck Clark,Home Office,48,9,5193,455,Champions
GH-46651,Greg Hansen,Consumer,493,4,361,121,Lost Customers
JS-159402,Joni Sundaresam,Home Office,6,5,2143,533,Loyal Customers
BT-14851,Brad Thomas,Home Office,458,3,174,111,Lost Customers
GH-44251,Gary Hwang,Consumer,84,7,3649,344,Loyal Customers
SA-208303,Sue Ann Reed,Consumer,169,8,4137,254,At Risk
FM-142152,Filia McAdams,Corporate,99,7,5513,345,Loyal Customers
FO-143052,Frank Olsen,Consumer,28,13,7365,555,Champions
LW-172151,Luke Weiss,Consumer,44,8,2914,454,Champions
AB-101502,Aimee Bixby,Consumer,104,6,9139,335,Loyal Customers
HG-150252,Hunter Glantz,Consumer,344,6,2326,243,At Risk
JF-53552,Jay Fein,Consumer,97,5,2900,334,Loyal Customers
NC-83401,Nat Carroll,Consumer,36,5,2280,433,Loyal Customers
AA-106451,Anna Andreadi,Consumer,29,12,5264,555,Champions
AS-102402,Alan Shonely,Consumer,44,9,3688,454,Champions
MM-179202,Michael Moore,Consumer,92,7,7421,345,Loyal Customers
PO-188502,Patrick O'Brill,Consumer,106,12,7288,355,Loyal Customers
NM-184451,Nathan Mautz,Home Office,86,11,8764,355,Loyal Customers
AR-104052,Allen Rosenblatt,Corporate,112,7,3532,344,Loyal Customers
CA-122651,Christina Anderson,Consumer,35,9,3988,454,Champions
BT-15303,Bradley Talbott,Home Office,897,4,599,122,Lost Customers
HK-148901,Heather Kirkland,Corporate,126,5,2378,333,Loyal Customers
SH-99751,Sally Hughsby,Corporate,65,2,520,411,Potential/Others
LP-70801,Liz Pelletier,Consumer,244,4,1625,223,Lost Customers
CA-119654,Carol Adams,Corporate,97,6,3789,334,Loyal Customers
SD-204854,Shirley Daniels,Home Office,201,9,6121,255,At Risk
NS-185053,Neola Schneider,Consumer,62,11,6814,455,Champions
TS-113701,Todd Sumrall,Corporate,727,4,329,131,At Risk
RA-99452,Ryan Akin,Consumer,213,3,1034,222,Lost Customers
DB-133601,Dennis Bolton,Home Office,48,8,2322,443,Champions
BW-110653,Barry Weirich,Consumer,118,5,3280,334,Loyal Customers
EJ-137204,Ed Jacobs,Consumer,303,4,2161,223,Lost Customers
MP-179651,Michael Paige,Corporate,108,7,2552,344,Loyal Customers
HF-149952,Herbert Flentye,Consumer,84,8,3497,354,Loyal Customers
JR-157001,Jocasta Rupert,Consumer,71,6,5295,445,Champions
RP-193903,Resi Pölking,Consumer,34,9,2963,454,Champions
JC-153404,Jasper Cacioppo,Consumer,115,4,72,321,Potential/Others
NB-86551,Nona Balk,Corporate,1097,2,131,111,Lost Customers
DP-31651,David Philippe,Consumer,8,5,1364,532,Loyal Customers
HE-148001,Harold Engle,Corporate,7,5,837,532,Loyal Customers
AG-9001,Arthur Gainer,Consumer,24,4,1698,523,Potential/Others
BD-17701,Bryan Davis,Consumer,454,3,1630,113,Lost Customers
BD-115601,Brendan Dodson,Home Office,45,4,1066,422,Potential/Others
DK-128353,Damala Kotsonis,Corporate,58,8,6745,455,Champions
MV-181904,Mike Vittorini,Consumer,20,7,1736,543,Champions
CM-121603,Charles McCrossin,Consumer,166,5,3840,234,At Risk
TS-216101,Troy Staebel,Consumer,209,6,8829,245,At Risk
LS-172001,Luke Schmidt,Corporate,16,8,4036,554,Champions
SF-202001,Sarah Foster,Consumer,430,8,4096,154,At Risk
IM-150552,Ionia McGrath,Consumer,16,7,1357,542,Champions
GH-144852,Gene Hale,Corporate,52,9,7376,455,Champions
DK-31501,David Kendrick,Corporate,58,4,333,421,Potential/Others
DH-130753,Dave Hallsten,Corporate,93,9,2978,354,Loyal Customers
DK-131501,David Kendrick,Corporate,72,8,4872,455,Champions
RR-193152,Ralph Ritter,Consumer,182,5,2372,233,At Risk
PO-88502,Patrick O'Brill,Consumer,128,2,358,311,Potential/Others
SP-206501,Stephanie Phelps,Corporate,28,6,4536,545,Champions
LC-170504,Liz Carlisle,Consumer,55,5,2096,433,Loyal Customers
ES-140801,Erin Smith,Corporate,636,5,4914,135,At Risk
LO-171702,Lori Olson,Corporate,115,10,3470,354,Loyal Customers
KH-166302,Ken Heidel,Corporate,9,8,1434,553,Champions
EH-141852,Evan Henry,Consumer,224,6,3744,244,At Risk
BD-115004,Bradley Drucker,Consumer,36,6,4410,435,Loyal Customers
DN-136901,Duane Noonan,Consumer,20,6,2649,544,Champions
JM-155802,Jill Matthias,Consumer,133,5,2108,333,Loyal Customers
KL-166452,Ken Lonsdale,Consumer,129,7,4556,345,Loyal Customers
GD-145901,Giulietta Dortch,Corporate,13,9,6939,555,Champions
EB-138402,Ellis Ballard,Corporate,3,10,9895,555,Champions
EB-137052,Ed Braxton,Corporate,710,6,3127,144,At Risk
TS-211601,Theresa Swint,Corporate,495,5,2521,133,At Risk
CD-127904,Cynthia Delaney,Home Office,400,5,1861,133,At Risk
EB-139304,Eric Barreto,Consumer,162,5,944,232,At Risk
ML-177552,Max Ludwig,Home Office,2,6,5182,545,Champions
SW-104551,Shaun Weien,Consumer,517,5,1379,133,At Risk
DB-32101,Dean Braden,Consumer,629,6,370,131,At Risk
TS-114301,Tom Stivers,Corporate,119,4,523,331,Loyal Customers
CC-123701,Christopher Conant,Consumer,145,12,9524,355,Loyal Customers
AS-6301,Ann Steele,Home Office,561,8,1908,143,At Risk
BT-114852,Brad Thomas,Home Office,161,9,4105,254,At Risk
DB-132704,Deborah Brumfield,Home Office,54,8,4655,445,Champions
AW-8401,Anthony Witt,Consumer,57,7,1946,443,Champions
MH-174404,Mark Haberlin,Corporate,377,4,400,121,Lost Customers
JM-61952,Justin MacKendrick,Consumer,13,5,666,532,Loyal Customers
SM-209052,Susan MacKendrick,Consumer,252,7,2184,243,At Risk
ND-184604,Neil Ducich,Corporate,184,6,2894,244,At Risk
NW-184001,Natalie Webber,Consumer,236,8,1550,253,At Risk
LT-171101,Liz Thompson,Consumer,212,8,4690,255,At Risk
DB-136601,Duane Benoit,Consumer,31,6,4522,535,Loyal Customers
GB-145302,George Bell,Corporate,251,3,1204,222,Lost Customers
SW-202751,Scott Williamson,Consumer,154,11,5470,255,At Risk
CK-127604,Cyma Kinney,Corporate,83,9,1583,353,Loyal Customers
SW-204552,Shaun Weien,Consumer,8,7,1253,542,Champions
KW-165703,Kelly Williams,Consumer,112,12,1585,353,Loyal Customers
JB-60452,Julia Barnett,Home Office,29,6,1178,542,Champions
KW-65701,Kelly Williams,Consumer,49,2,549,412,Potential/Others
BP-110951,Bart Pistole,Corporate,54,4,900,422,Potential/Others
EB-137502,Edward Becker,Corporate,33,5,2024,533,Loyal Customers
HR-147702,Hallie Redmond,Home Office,80,5,3553,334,Loyal Customers
DR-129401,Daniel Raglin,Home Office,76,11,10943,455,Champions
LT-171103,Liz Thompson,Consumer,286,3,1163,222,Lost Customers
NG-183552,Nat Gilpin,Corporate,61,6,2134,443,Champions
TP-214153,Tom Prescott,Consumer,49,6,2409,443,Champions
ST-205303,Shui Tom,Consumer,134,10,7436,355,Loyal Customers
YC-218952,Yoseph Carroll,Corporate,44,14,8531,455,Champions
CL-125652,Clay Ludtke,Consumer,6,9,3424,554,Champions
EH-140051,Erica Hernandez,Home Office,73,9,1941,453,Champions
NM-184454,Nathan Mautz,Home Office,161,7,6461,245,At Risk
JH-58201,John Huston,Consumer,43,3,920,422,Potential/Others
PO-91803,Philisse Overcash,Home Office,503,4,727,132,At Risk
JP-154602,Jennifer Patt,Corporate,311,7,3163,244,At Risk
MO-75001,Mary O'Rourke,Consumer,736,3,580,122,Lost Customers
CA-119651,Carol Adams,Corporate,100,7,11653,345,Loyal Customers
ME-180101,Michelle Ellison,Corporate,428,6,1520,143,At Risk
PL-189252,Paul Lucas,Home Office,586,3,1899,123,Lost Customers
FO-143051,Frank Olsen,Consumer,79,7,4643,345,Loyal Customers
MO-178002,Meg O'Connel,Home Office,106,3,355,321,Potential/Others
CM-121152,Chad McGuire,Consumer,468,4,3738,124,Lost Customers
QJ-192553,Quincy Jones,Corporate,115,7,2616,344,Loyal Customers
ME-180102,Michelle Ellison,Corporate,43,11,5882,455,Champions
AH-6901,Anna Häberlin,Corporate,59,3,948,412,Potential/Others
LD-70053,Lisa DeCherney,Consumer,486,4,282,121,Lost Customers
SN-207103,Steve Nguyen,Home Office,45,7,1711,443,Champions
SP-208601,Sung Pak,Corporate,55,2,246,411,Potential/Others
EM-39601,Eric Murdock,Consumer,195,4,1171,222,Lost Customers
GA-147254,Guy Armstrong,Consumer,6,11,1400,553,Champions
NF-183854,Natalie Fritzler,Consumer,80,7,8321,345,Loyal Customers
MG-178901,Michael Granlund,Home Office,27,8,7964,555,Champions
SC-200954,Sanjit Chand,Consumer,350,9,14145,155,At Risk
LB-167953,Laurel Beltran,Home Office,48,8,2504,453,Champions
KB-164051,Katrina Bavinger,Home Office,20,11,6075,555,Champions
TG-213101,Toby Gnade,Consumer,15,9,2762,554,Champions
HA-149202,Helen Andreada,Consumer,152,6,1371,242,At Risk
MM-82802,Muhammed MacIntyre,Corporate,72,7,2922,444,Champions
TC-112951,Toby Carlisle,Consumer,13,3,156,521,Potential/Others
DB-132701,Deborah Brumfield,Home Office,34,8,2386,443,Champions
TB-112803,Toby Braunhardt,Consumer,157,5,415,231,At Risk
TB-116251,Trudy Brown,Consumer,954,2,956,112,Lost Customers
ST-205304,Shui Tom,Consumer,126,7,432,341,Loyal Customers
ML-173954,Marina Lichtenstein,Corporate,70,9,2723,454,Champions
TP-215652,Tracy Poddar,Corporate,139,10,5103,355,Loyal Customers
PA-90601,Pete Armstrong,Home Office,405,3,3223,124,Lost Customers
JE-154751,Jeremy Ellison,Consumer,201,5,2873,234,At Risk
GZ-144702,Gary Zandusky,Consumer,8,8,8432,555,Champions
CM-123851,Christopher Martinez,Consumer,58,11,7050,455,Champions
ON-187152,Odella Nelson,Corporate,48,11,8368,455,Champions
MH-176203,Matt Hagelstein,Corporate,105,6,5040,345,Loyal Customers
BW-111101,Bart Watters,Corporate,199,12,12267,255,At Risk
TZ-215803,Tracy Zic,Consumer,52,7,2422,443,Champions
RW-196302,Rob Williams,Corporate,252,5,1349,232,At Risk
BF-112151,Benjamin Farhat,Home Office,134,10,4587,355,Loyal Customers
BF-110204,Barry Französisch,Corporate,75,8,2889,444,Champions
ED-138853,Emily Ducich,Home Office,45,8,4922,455,Champions
LB-167951,Laurel Beltran,Home Office,224,9,8487,255,At Risk
MN-179354,Michael Nguyen,Consumer,35,6,2477,443,Champions
KW-64351,Katrina Willman,Consumer,148,4,427,321,Potential/Others
LA-167801,Laura Armstrong,Corporate,128,12,8091,355,Loyal Customers
AB-101652,Alan Barnes,Consumer,14,11,6437,555,Champions
JR-156701,Jim Radford,Consumer,582,5,5919,135,At Risk
CM-121601,Charles McCrossin,Consumer,98,8,8870,345,Loyal Customers
ML-180401,Michelle Lonsdale,Corporate,322,5,2753,234,At Risk
RD-199001,Ruben Dartt,Consumer,275,6,6221,245,At Risk
SN-105602,Skye Norling,Home Office,1413,1,441,111,Lost Customers
DL-129252,Daniel Lacy,Consumer,1413,1,117,111,Lost Customers
AB-100154,Aaron Bergman,Consumer,416,3,887,112,Lost Customers
LT-167651,Larry Tron,Consumer,7,10,7225,555,Champions
TB-215954,Troy Blackwell,Consumer,286,5,1387,233,At Risk
JL-158501,John Lucas,Consumer,841,4,2581,124,Lost Customers
LC-169304,Linda Cazamias,Corporate,42,8,4492,455,Champions
SJ-202152,Sarah Jordon,Consumer,29,8,4555,555,Champions
EA-140351,Erin Ashbrook,Corporate,94,6,2922,344,Loyal Customers
AG-109001,Arthur Gainer,Consumer,118,8,5035,345,Loyal Customers
AM-103602,Alice McCarthy,Corporate,22,11,8940,555,Champions
LM-170651,Liz MacKendrick,Consumer,85,7,5588,345,Loyal Customers
SR-207404,Steven Roelle,Home Office,197,8,4345,255,At Risk
SC-200201,Sam Craven,Consumer,91,12,4109,354,Loyal Customers
AR-105101,Andrew Roberts,Consumer,238,11,6254,255,At Risk
ZD-219252,Zuschuss Donatelli,Consumer,2,7,4548,545,Champions
RH-195101,Rick Huthwaite,Home Office,21,7,1448,543,Champions
RW-95402,Rick Wilson,Corporate,1206,3,878,122,Lost Customers
PG-188952,Paul Gonzalez,Consumer,3,7,4707,545,Champions
TM-210104,Tamara Manning,Consumer,104,8,2955,354,Loyal Customers
ML-80403,Michelle Lonsdale,Corporate,224,2,104,211,Lost Customers
SZ-100352,Sam Zeldin,Home Office,1191,3,756,122,Lost Customers
AG-4953,Andrew Gjertsen,Corporate,70,6,482,431,Loyal Customers
JD-160602,Julia Dunbar,Consumer,70,7,3015,444,Champions
PH-87901,Patricia Hirasaki,Home Office,115,4,177,331,Loyal Customers
CM-123852,Christopher Martinez,Consumer,367,4,975,122,Lost Customers
CM-19352,Carlos Meador,Consumer,647,3,298,121,Lost Customers
MG-182051,Mitch Gastineau,Corporate,27,7,7669,545,Champions
MO-175003,Mary O'Rourke,Consumer,37,11,3190,454,Champions
RF-197351,Roland Fjeld,Consumer,2,8,6855,555,Champions
GD-145902,Giulietta Dortch,Corporate,344,9,5870,255,At Risk
SA-208304,Sue Ann Reed,Consumer,64,10,4767,455,Champions
CB-24151,Christy Brittain,Consumer,1407,1,64,111,Lost Customers
DK-28351,Damala Kotsonis,Corporate,108,3,1830,323,Potential/Others
TS-114302,Tom Stivers,Corporate,150,3,5288,325,Potential/Others
TB-112802,Toby Braunhardt,Consumer,289,2,448,211,Lost Customers
MG-178754,Michael Grace,Home Office,117,5,1241,332,Loyal Customers
JC-161052,Julie Creighton,Corporate,104,10,6355,355,Loyal Customers
JM-156551,Jim Mitchum,Corporate,216,10,5566,255,At Risk
CS-119503,Carlos Soltero,Consumer,573,7,3530,144,At Risk
GZ-144703,Gary Zandusky,Consumer,22,10,2789,554,Champions
RO-97801,Rose O'Brian,Consumer,5,7,2597,544,Champions
EG-139003,Emily Grady,Consumer,37,5,2468,433,Loyal Customers
JH-154304,Jennifer Halladay,Consumer,6,4,310,521,Potential/Others
TH-115501,Tracy Hopkins,Home Office,390,3,181,121,Lost Customers
MK-181603,Mike Kennedy,Consumer,657,4,539,121,Lost Customers
FM-143801,Fred McMath,Consumer,239,5,2301,233,At Risk
BO-114252,Bobby Odegard,Consumer,175,8,6314,245,At Risk
RL-196153,Rob Lucas,Consumer,476,7,3303,144,At Risk
LC-168701,Lena Cacioppo,Consumer,215,6,4570,245,At Risk
BS-113803,Bill Stewart,Corporate,273,8,4614,245,At Risk
MD-178601,Michael Dominguez,Corporate,156,9,9590,255,At Risk
DK-33753,Dennis Kane,Consumer,307,5,2022,233,At Risk
SH-199751,Sally Hughsby,Corporate,26,7,3622,544,Champions
PS-189701,Paul Stevenson,Home Office,28,6,5988,545,Champions
SB-201853,Sarah Brown,Consumer,125,9,6349,355,Loyal Customers
JS-160304,Joy Smith,Consumer,29,6,2519,543,Champions
TP-114152,Tom Prescott,Consumer,1402,1,1344,112,Lost Customers
BS-18002,Bryan Spruell,Home Office,391,4,2203,123,Lost Customers
TB-214002,Tom Boeckenhauer,Consumer,582,3,1587,123,Lost Customers
EL-137352,Ed Ludwig,Home Office,146,6,3520,344,Loyal Customers
VF-217154,Vicky Freymann,Home Office,14,5,847,532,Loyal Customers
GW-146054,Giulietta Weimer,Consumer,29,7,2190,543,Champions
EH-37651,Edward Hooks,Corporate,129,8,605,352,Loyal Customers
LH-171551,Logan Haushalter,Consumer,76,14,5667,455,Champions
JF-154902,Jeremy Farry,Consumer,5,5,2761,534,Loyal Customers
HR-147704,Hallie Redmond,Home Office,14,5,1299,532,Loyal Customers
TS-213702,Todd Sumrall,Corporate,267,9,5879,255,At Risk
SC-203804,Shahid Collister,Consumer,31,9,5994,555,Champions
CM-122352,Chris McAfee,Consumer,43,6,2006,433,Loyal Customers
KH-163601,Katherine Hughes,Consumer,51,8,4062,454,Champions
DB-130604,Dave Brooks,Consumer,17,7,4532,545,Champions
RF-193451,Randy Ferguson,Corporate,121,8,4628,355,Loyal Customers
BD-116201,Brian DeCherney,Consumer,138,9,3514,354,Loyal Customers
NW-84003,Natalie Webber,Consumer,118,5,1614,333,Loyal Customers
MZ-175151,Mary Zewe,Corporate,45,10,5508,455,Champions
NH-186104,Nicole Hansen,Corporate,190,7,2673,244,At Risk
KN-167054,Kristina Nunn,Home Office,99,8,2280,353,Loyal Customers
FH-142753,Frank Hawley,Corporate,5,5,1292,532,Loyal Customers
TS-110853,Thais Sissman,Consumer,236,4,669,232,At Risk
JS-155954,Jill Stevenson,Corporate,120,4,1418,323,Potential/Others
MW-182353,Mitch Willingham,Corporate,64,7,4534,445,Champions
AJ-109454,Ashley Jarboe,Consumer,86,7,1839,343,Loyal Customers
